2008-12-23 10:43:10 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 15]
2008-12-23 10:44:06 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 15]
2008-12-23 10:44:27 Debug: Notice (8): Undefined index:  User in [APP\views\home\me.ctp, line 14]
2008-12-23 10:44:27 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 15]
2008-12-23 10:44:56 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 15]
2008-12-23 10:46:01 Debug: Notice (8): Undefined index:  User in [APP\views\home\me.ctp, line 15]
2008-12-23 10:46:01 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 17]
2008-12-23 10:46:22 Debug: Notice (8): Undefined index:  User in [APP\views\home\me.ctp, line 15]
2008-12-23 10:46:22 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 17]
2008-12-23 10:47:45 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:48:30 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:49:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:49:34 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:49:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:50:06 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:50:16 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:50:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:50:31 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:51:38 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:52:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:52:14 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:52:34 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:52:36 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:53:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:53:27 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:53:40 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:53:49 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:54:18 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:54:34 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:54:35 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:07:08 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:07:50 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:36:57 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:37:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:37:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:37:25 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 11:39:48 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 12:54:33 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 12:54:52 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:02:34 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:21 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:38 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:40 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:40 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:40 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 13:07:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
